Nome Ufficio,Istituzione,Categoria,Indirizzo,Circoscrizione,Telefono,Email,Sito Web,Skype,Orario Lunedì,Orario Martedì,Orario Mercoledì,Orario Giovedì,Orario Venerdì,Orario Sabato,Orario Domenica,Servizi,Accesso Disabili,Prenotazione,Online
Infopoint UnITo - Via Po,Università di Torino (UnITO),Informazioni Generali,"Via Po, 29 - Palazzo degli Stemmi, 10124 Torino",Centro,+39 011 6703020-3021,infopoint@unito.it,https://www.unito.it/,infopoint.unito,09:00 - 16:30,Chiuso,09:00 - 16:30,Chiuso,09:00 - 16:30,Chiuso,Chiuso,"Informazioni generali, iscrizioni, orientamento",Sì,No,Sì - Skype
Diritto allo Studio - Tasse,Università di Torino (UnITO),Tasse e Diritto allo Studio,"Via Po, 29 - 10124 Torino",Centro,+39 011 6709902,N/A,https://www.unito.it/,N/A,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,Chiuso,Chiuso,"Tasse universitarie, borse di studio, esoneri",Sì,No,Help desk online
Servizi per Disabilità e DSA,Università di Torino (UnITO),Inclusione e Accessibilità,"Via Po, 31 - 10124 Torino",Centro,+39 011 6704284,disabilita.dsa@unito.it,https://www.unito.it/servizi/inclusione-ed-esigenze-specifiche,N/A,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,Chiuso,Chiuso,"Ausili tecnici, supporto DSA, accesso facilitato",Sì (su appuntamento),Sì - Solo appuntamento,Email
Erasmus+ e Mobilità Internazionale,Università di Torino (UnITO),Mobilità Internazionale,"Via Sant'Ottavio, 12 - 10124 Torino (Complesso Aldo Moro, Palazzina D)",Centro,+39 011 6704425,mobilita.internazionale@unito.it,https://www.unito.it/servizi/erasmus-e-mobilita-internazionale,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Programmi Erasmus+, doppi titoli, mobilità all'estero",Sì (su appuntamento),Obbligatorio,Email/Videoconferenza
Studenti Internazionali (Incoming),Università di Torino (UnITO),Studenti Internazionali,"Via Sant'Ottavio, 12/B - 10124 Torino (Complesso Aldo Moro, Palazzina D)",Centro,+39 011 6704452,internationalstudents@unito.it,https://www.unito.it/servizi/studenti-internazionali,N/A,14:00 - 16:00 (telefonico),14:00 - 16:00 (telefonico),14:00 - 16:00 (telefonico),14:00 - 16:00 (telefonico),14:00 - 16:00 (telefonico),Chiuso,Chiuso,"Accoglienza studenti Erasmus, visti, alloggio",Sì (su appuntamento),Sì,Sì - Videoconferenza
Supporto Psicologico - Spazio di Ascolto,Università di Torino (UnITO),Supporto Psicologico,"Via Verdi, 10 - 10124 Torino",Centro,+39 388 1469366 (Counseling),spazioascolto@unito.it,https://www.unito.it/servizi/supporto-psicologico,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Counseling psicologico, supporto emotivo, mediazione",Sì (su appuntamento),Obbligatorio,Email
SUPERA - Sportello Riuscita Accademica,Università di Torino (UnITO),Supporto Accademico,Contatta via email,Vario,N/A,supera@unito.it,https://www.unito.it/servizi/supera,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Tutor accademico, metodo di studio, pianificazione carriera",Sì (su appuntamento),Obbligatorio,Sì - Email
Tasse e Diritto allo Studio,Politecnico di Torino,Tasse e Diritto allo Studio,"Corso Duca degli Abruzzi, 24 - Cittadella Politecnica (piano terra), 10129 Torino",Centro,+39 011 090.6254,diritto.studio@polito.it | riduzione.tasse@polito.it,https://www.polito.it/,N/A,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,Chiuso,Chiuso,"Iscrizione, tasse, esoneri, diritto allo studio",Sì,No,Sì - Moduli online
Mobilità Studenti,Politecnico di Torino,Mobilità Internazionale,"Corso Duca degli Abruzzi, 24 - 10129 Torino",Centro,+39 011 0906254,incoming.students@polito.it (Incoming) | mobilita.studenti@polito.it (Outgoing),https://www.polito.it/didattica/studenti-internazionali,N/A,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,Chiuso,Chiuso,"Erasmus+, doppi titoli, mobilità incoming/outgoing",Sì,Consigliato,Email
Special Needs (Disabilità e DSA),Politecnico di Torino,Inclusione e Accessibilità,"Corso Duca degli Abruzzi, 24 - 10129 Torino",Centro,+39 011 0906254,special.needs@polito.it,https://www.polito.it/contatti/contatti-per-studenti,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Supporto disabilità, DSA, ausili tecnici",Sì,Obbligatorio,Sì - Contatta per prenotazione
EDISU - Sportello Centrale,EDISU Piemonte (Ente Diritto Allo Studio),"Borse, Alloggio, Ristorazione","Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,N/A,https://www.edisu.piemonte.it/,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Borse di studio, alloggio universitario, ristorazione",Sì,Su appuntamento per casi particolari,Sì - Sportello Studente Online
EDISU - Ristorazione,EDISU Piemonte,Ristorazione,"Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,ristorazione@piemonte.it,https://www.edisu.piemonte.it/ristorazione,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Mense, scontistiche ristorazione, menu speciali",Sì,No,Sì - App Campus Piemonte
EDISU - Alloggio e Residenze,EDISU Piemonte,Alloggio,"Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,alloggio@piemonte.it,https://www.edisu.piemonte.it/alloggio,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Assegnazione posti letto, residenze universitarie, costi",Sì (residenze accessibili),Sì - Online,Sì - Sportello Studente Online
