Nome Spazio,Categoria,Indirizzo,Circoscrizione,Telefono,Email,Sito Web,Orario Lunedì,Orario Martedì,Orario Mercoledì,Orario Giovedì,Orario Venerdì,Orario Sabato,Orario Domenica,Silenzio,WiFi,Prese di Corrente,Tavoli,Sedie,Bar,Bagni,Parcheggio,Accesso Disabili,Accesso 24/7
Sala Studio Michelangelo Buonarroti,Sale Studio Pubbliche EDISU/Università,"Via Michelangelo Buonarroti, 17 bis, 10126 Torino",Centro,+39 011 6531054,edisu@piemonte.it,https://www.edisu.piemonte.it/,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,Assoluto,Sì,Numerose,Numerosi,Sì,Sì - Interno,Sì,Sì,Sì,Sì
Sala Studio Verdi,Sale Studio Pubbliche EDISU/Università,"Via Verdi, 26, 10124 Torino",Centro,+39 011 6531290,edisu@piemonte.it,https://www.edisu.piemonte.it/,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,8:30 - 24:00,Assoluto,Sì,Numerose,Numerosi,Sì,Sì - Interno,Sì,Parziale,Sì,Sì
Sala Studio Pietro Giuria,Sale Studio Pubbliche EDISU/Università,"Via Pietro Giuria, 10126 Torino",Centro,011.6531250,edisu@piemonte.it,https://www.edisu.piemonte.it/,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,Assoluto,Sì,Alcune,Numerosi,Sì,No,Sì,Parziale,Parziale,No
Sala Studio Principe Amedeo,Sale Studio Pubbliche EDISU/Università,"Via Principe Amedeo, 10126 Torino",Centro,011.6531260,edisu@piemonte.it,https://www.edisu.piemonte.it/,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 20:00,Chiuso,Assoluto,Sì,Alcune,Numerosi,Sì,No,Sì,Parziale,Parziale,No
Biblioteca Nazionale Universitaria di Torino (BNUTO),Biblioteche,"Piazza Carlo Alberto, 3, 10123 Torino",Centro,+39 011 8101137,bu-to@cultura.gov.it,https://bnto.comperio.it,8:15 - 19:55,8:15 - 19:55,8:15 - 19:55,8:15 - 19:55,8:15 - 19:55,10:30 - 18:00,Chiuso,Assoluto,Lento,Poche,Numerosi,Sì,No,Sì,No,Sì,No
Biblioteca Civica Centrale,Biblioteche,"Via della Cittadella, 5, 10123 Torino",Centro,+39 011 01129836,biblioteca.centrale@comune.torino.it,https://bct.comune.torino.it/,14:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 19:00,9:00 - 15:00,Chiuso,Molto Silenzioso,Sì,Alcune,Numerosi,Sì,No,Sì,Parcheggio Pubblico Nearby,Sì,No
Biblioteca Civica Natalia Ginzburg,Biblioteche,"Via Cesare Lombroso, 16, 10123 Torino",San Salvario,+39 011 01129836,biblioteca.centrale@comune.torino.it,https://bct.comune.torino.it/,Chiuso,9:00 - 15:00,13:00 - 19:00,13:00 - 19:00,9:00 - 15:00,Chiuso,Chiuso,Molto Silenzioso,Sì,Alcune,Numerosi,Sì,No,Sì,Gratuito - Giardino,Sì,No
Polo del '900 - Sala Lettura,Biblioteche,"Piazzetta Antonicelli, 10122 Torino",Centro,+39 011 0883200,reception@polodel900.it,https://polodel900.it/,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 13:00,Chiuso,Chiuso,Assoluto,Sì,Alcune,Numerosi,Sì,No,Sì,Parcheggio pubblico nearby,Sì,No
Sala Studio Murazzi Student Zone,Spazi Pubblici Polivalenti,"Murazzi del Po, 22, 10124 Torino",Centro,011.6531270,edisu@piemonte.it,https://www.edisu.piemonte.it/,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,9:00 - 20:00,Chiuso,9:00 - 20:00,Moderato,Sì,Numerose,81 posti,Sì,Sì - Interno,Sì,No,Sì,No
Imbarchino nel Parco Valentino,Spazi Pubblici Polivalenti,"Viale Umberto Cagni 37, 10123 Torino",San Salvario,+39 011 046 1895,N/A,https://www.imbarchino.space,10:00 - 24:00,10:00 - 24:00,10:00 - 24:00,10:00 - 24:00,10:00 - 24:00,10:00 - 02:00,10:00 - 24:00,Informale,Sì,Poche,Numerosi,Sì,Sì - Birre e aperitivi,Sì,Parcheggio Parco,Parziale,No
Comala,Spazi Pubblici Polivalenti,"Corso Ferrucci, 65/a, 10152 Torino",Cenisia,Consultare sito,N/A,https://www.comuneditorio.it/,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,08:00 - 24:00,10:00 - 24:00,10:00 - 24:00,Moderato,Sì,Numerose,Numerosi,Sì,Sì - Interno,Sì,Parziale,Sì,No
MagazziniOz,Spazi Pubblici Polivalenti,"Via Giolitti, Torino",Centro,Consultare sito,ristorazione@magazzinioz.it,http://www.magazzinioz.it/,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 21:30,08:30 - 23:00,10:00 - 23:00,10:00 - 19:00,Informale,Sì,Alcune,Numerosi,Sì,"Sì - Birre, cocktail",Sì,No,Parziale,No
Circolo dei Lettori,Caffetterie e Locali Study-Friendly,"Via Bogino, 9, 10123 Torino",Centro,+39 011 8904401,info@circololettori.it,https://torino.circololettori.it/,9:30 - 21:00,9:30 - 21:00,9:30 - 21:00,9:30 - 21:00,9:30 - 21:00,9:30 - 21:00,Occasionale,Moderato,Sì,Alcune,Numerosi,Sì,Sì - Barney's il Bar,Sì,Cortile Palazzo,Sì,No
Mara dei Boschi - Via Berthollet,Caffetterie e Locali Study-Friendly,"Via Berthollet, 30, 10123 Torino",Centro,+39 011 0769557,info@maradeiboschi.it,https://www.maradeiboschi.it/,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,08:30 - 19:30,09:30 - 19:30,Informale,Sì,Alcune,Numerosi,Sì,Sì - Caffè di qualità,Sì,No,Parziale,No
Mara dei Boschi - Piazza Carlo Emanuele II,Caffetterie e Locali Study-Friendly,"Piazza Carlo Emanuele II, 21, 10123 Torino",Centro,+39 011 0266159,info@maradeiboschi.it,https://www.maradeiboschi.it/,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,07:30 - 19:30,08:30 - 19:30,09:30 - 19:30,Informale,Sì,Alcune,Numerosi,Sì,Sì - Caffè di qualità,Sì,Piazza Pubblica,Sì,No
EXKi - Via Arcivescovado,Caffetterie e Locali Study-Friendly,"Via Arcivescovado, 2E, 10123 Torino",Centro,Consultare sito,Consultare sito,https://www.exki.com/,7:30 - 19:30,7:30 - 19:30,7:30 - 19:30,7:30 - 19:30,7:30 - 19:30,8:30 - 19:30,9:30 - 19:30,Informale,Sì,Alcune,Numerosi,Sì,Sì - Biologico,Sì,No,Parziale,No
